"date","agegroup","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_notfull_vac_rate_per100K","cases_full_vac_rate_per100K","cases_boost_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_notfull_vac_rate_7ma","cases_full_vac_rate_7ma","cases_boost_vac_rate_7ma"
2021-09-23,"60-79yrs",11.57,5.05,,1.21,,11.54,3.90,,1.21,
2021-09-23,"80+",24.08,10.04,,0.96,,9.68,1.43,,1.42,
2021-09-23,"ALL",11.12,4.89,,1.46,,10.19,4.99,,1.64,
2021-09-24,"0-11yrs",7.36,0.00,,0.00,,6.85,2.20,,0.00,
2021-09-24,"12-17yrs",22.05,7.22,,1.22,,15.21,4.26,,0.90,
2021-09-24,"18-39yrs",15.31,6.43,,2.19,,14.25,5.88,,2.15,
2021-09-24,"40-59yrs",14.81,10.94,,1.93,,11.30,4.97,,1.55,
2021-09-24,"60-79yrs",14.92,0.00,,0.87,,11.71,3.55,,1.14,
2021-09-24,"80+",63.69,0.00,,1.76,,18.77,1.43,,1.49,
2021-09-24,"ALL",11.93,6.71,,1.67,,10.25,5.06,,1.58,
2021-09-25,"0-11yrs",6.06,5.48,,0.00,,6.62,1.51,,-0.00,
2021-09-25,"12-17yrs",15.00,3.12,,1.06,,14.55,4.12,,0.90,
2021-09-25,"18-39yrs",14.54,6.95,,1.83,,13.49,5.63,,1.95,
2021-09-25,"40-59yrs",12.17,5.02,,1.73,,11.30,4.66,,1.58,
2021-09-25,"60-79yrs",9.05,3.86,,1.13,,11.58,3.58,,1.09,
2021-09-25,"80+",22.08,0.00,,1.12,,20.70,1.43,,1.49,
2021-09-25,"ALL",9.92,5.56,,1.52,,9.90,4.84,,1.51,
2021-09-26,"0-11yrs",7.30,5.68,,0.00,,6.47,2.32,,-0.00,
2021-09-26,"12-17yrs",14.63,2.10,,1.36,,14.92,3.69,,0.94,
2021-09-26,"18-39yrs",15.35,6.03,,2.17,,13.51,5.52,,1.95,
2021-09-26,"40-59yrs",10.34,4.55,,1.60,,11.14,4.82,,1.56,
2021-09-26,"60-79yrs",14.58,2.59,,0.79,,11.80,3.42,,1.02,
2021-09-26,"80+",45.57,0.00,,0.96,,25.56,1.43,,1.33,
2021-09-26,"ALL",10.71,4.74,,1.51,,9.84,4.77,,1.48,
2021-09-27,"0-11yrs",7.02,0.00,,0.00,,6.53,1.59,,-0.00,
2021-09-27,"12-17yrs",13.21,4.19,,0.91,,15.20,3.55,,0.91,
2021-09-27,"18-39yrs",12.53,4.60,,2.07,,13.60,5.33,,1.95,
2021-09-27,"40-59yrs",8.64,3.55,,1.57,,10.76,4.84,,1.58,
2021-09-27,"60-79yrs",14.65,6.50,,1.09,,12.45,3.46,,1.01,
2021-09-27,"80+",23.39,0.00,,1.59,,27.65,1.43,,1.35,
2021-09-27,"ALL",9.43,4.27,,1.56,,9.88,4.65,,1.49,
2021-09-28,"0-11yrs",4.15,5.87,,0.00,,6.31,2.43,,-0.00,
2021-09-28,"12-17yrs",11.32,3.14,,1.21,,15.08,3.41,,0.98,
2021-09-28,"18-39yrs",10.24,3.64,,1.56,,13.25,5.17,,1.91,
2021-09-28,"40-59yrs",9.72,4.08,,1.38,,10.79,5.08,,1.57,
2021-09-28,"60-79yrs",14.17,0.00,,0.49,,12.60,2.75,,0.94,
2021-09-28,"80+",24.26,5.13,,0.96,,29.86,2.17,,1.30,
2021-09-28,"ALL",7.49,3.31,,1.16,,9.67,4.57,,1.45,
2021-09-29,"0-11yrs",4.32,12.00,,0.00,,6.25,4.15,,-0.00,
2021-09-29,"12-17yrs",10.93,7.34,,0.60,,15.08,4.17,,0.95,
2021-09-29,"18-39yrs",11.90,3.66,,1.27,,13.52,5.25,,1.84,
2021-09-29,"40-59yrs",11.89,4.63,,1.60,,11.41,5.39,,1.65,
2021-09-29,"60-79yrs",11.82,3.96,,0.68,,12.97,3.14,,0.89,
2021-09-29,"80+",25.41,0.00,,0.48,,32.64,2.17,,1.12,
2021-09-29,"ALL",8.20,4.44,,1.12,,9.83,4.85,,1.43,
2021-09-30,"0-11yrs",7.02,0.00,,0.00,,6.18,4.15,,-0.00,
2021-09-30,"12-17yrs",15.04,5.26,,0.45,,14.60,4.62,,0.97,
2021-09-30,"18-39yrs",13.90,4.90,,1.93,,13.40,5.17,,1.86,
2021-09-30,"40-59yrs",15.50,6.73,,1.66,,11.87,5.64,,1.64,
2021-09-30,"60-79yrs",18.87,1.33,,1.09,,14.01,2.61,,0.88,
2021-09-30,"80+",26.61,0.00,,0.95,,33.00,0.73,,1.12,
2021-09-30,"ALL",11.11,4.84,,1.47,,9.83,4.84,,1.43,
2021-10-01,"0-11yrs",6.12,0.00,,0.00,,6.00,4.15,,-0.00,
2021-10-01,"12-17yrs",10.61,3.17,,1.05,,12.96,4.05,,0.95,
2021-10-01,"18-39yrs",15.72,5.67,,1.80,,13.45,5.06,,1.80,
2021-10-01,"40-59yrs",15.60,4.69,,1.78,,11.98,4.75,,1.62,
2021-10-01,"60-79yrs",15.87,4.03,,1.42,,14.14,3.18,,0.96,
2021-10-01,"80+",41.92,5.19,,1.27,,29.89,1.47,,1.05,
2021-10-01,"ALL",10.79,4.87,,1.61,,9.66,4.58,,1.42,
2021-10-02,"0-11yrs",7.58,0.00,,0.00,,6.22,3.36,,-0.00,
2021-10-02,"12-17yrs",17.32,7.50,,0.74,,13.29,4.67,,0.90,
2021-10-02,"18-39yrs",15.21,7.46,,2.42,,13.55,5.14,,1.89,
2021-10-02,"40-59yrs",12.14,1.58,,2.00,,11.98,4.26,,1.66,
2021-10-02,"60-79yrs",12.18,5.43,,1.46,,14.59,3.41,,1.00,
2021-10-02,"80+",44.07,0.00,,2.22,,33.03,1.47,,1.20,
2021-10-02,"ALL",11.03,5.55,,1.92,,9.82,4.57,,1.48,
2021-10-03,"0-11yrs",5.33,0.00,,0.00,,5.93,2.55,,-0.00,
2021-10-03,"12-17yrs",10.26,8.69,,0.74,,12.67,5.61,,0.81,
2021-10-03,"18-39yrs",10.24,4.26,,1.91,,12.82,4.88,,1.85,
2021-10-03,"40-59yrs",11.48,6.37,,2.03,,12.14,4.52,,1.72,
2021-10-03,"60-79yrs",10.97,1.37,,1.24,,14.08,3.23,,1.07,
2021-10-03,"80+",76.76,0.00,,1.59,,37.49,1.47,,1.29,
2021-10-03,"ALL",8.17,4.84,,1.68,,9.46,4.59,,1.50,
2021-10-04,"0-11yrs",5.61,0.00,,0.00,,5.73,2.55,,-0.00,
2021-10-04,"12-17yrs",9.26,2.19,,0.74,,12.11,5.33,,0.79,
2021-10-04,"18-39yrs",10.17,3.02,,1.53,,12.48,4.66,,1.77,
2021-10-04,"40-59yrs",12.04,3.73,,1.36,,12.62,4.54,,1.69,
2021-10-04,"60-79yrs",15.56,0.00,,1.16,,14.21,2.30,,1.08,
2021-10-04,"80+",111.6,0.00,,1.74,,50.09,1.47,,1.32,
2021-10-04,"ALL",8.57,2.69,,1.34,,9.34,4.36,,1.47,
2021-10-05,"0-11yrs",4.71,0.00,,0.00,,5.81,1.71,,-0.00,
2021-10-05,"12-17yrs",10.35,3.29,,1.48,,11.97,5.35,,0.83,
2021-10-05,"18-39yrs",7.52,4.05,,1.84,,12.09,4.72,,1.81,
2021-10-05,"40-59yrs",7.23,4.30,,1.14,,12.27,4.58,,1.65,
2021-10-05,"60-79yrs",10.47,0.00,,0.67,,13.68,2.30,,1.10,
2021-10-05,"80+",66.97,0.00,,0.79,,56.19,0.74,,1.29,
2021-10-05,"ALL",6.46,3.48,,1.24,,9.19,4.39,,1.48,
2021-10-06,"0-11yrs",4.55,0.00,,0.00,,5.85,0.00,,-0.00,
2021-10-06,"12-17yrs",14.09,0.00,,0.29,,12.42,4.30,,0.78,
2021-10-06,"18-39yrs",10.36,1.28,,1.30,,11.87,4.38,,1.82,
2021-10-06,"40-59yrs",11.29,3.80,,1.90,,12.18,4.46,,1.70,
2021-10-06,"60-79yrs",19.19,1.40,,1.34,,14.73,1.94,,1.20,
2021-10-06,"80+",17.73,0.00,,0.16,,55.09,0.74,,1.25,
2021-10-06,"ALL",8.20,1.69,,1.36,,9.19,3.99,,1.52,
2021-10-07,"0-11yrs",6.12,0.00,,0.00,,5.72,0.00,,0.00,
2021-10-07,"12-17yrs",16.32,5.58,,0.44,,12.60,4.35,,0.78,
2021-10-07,"18-39yrs",12.37,3.37,,2.01,,11.66,4.16,,1.83,
2021-10-07,"40-59yrs",11.75,2.75,,1.70,,11.65,3.89,,1.70,
2021-10-07,"60-79yrs",22.77,2.82,,1.31,,15.29,2.15,,1.23,
2021-10-07,"80+",0.00,10.61,,1.11,,51.29,2.26,,1.27,
2021-10-07,"ALL",9.78,3.56,,1.58,,9.00,3.81,,1.53,
2021-10-08,"0-11yrs",5.16,9.47,,0.00,,5.58,1.35,,0.00,
2021-10-08,"12-17yrs",11.16,3.39,,1.17,,12.68,4.38,,0.80,
2021-10-08,"18-39yrs",10.14,5.00,,2.18,,10.86,4.06,,1.88,
2021-10-08,"40-59yrs",10.36,4.45,,2.02,,10.90,3.85,,1.74,
2021-10-08,"60-79yrs",25.72,2.85,,1.60,,16.69,1.98,,1.25,
2021-10-08,"80+",61.19,0.00,,0.95,,54.05,1.52,,1.22,
2021-10-08,"ALL",8.45,4.41,,1.84,,8.67,3.75,,1.57,
2021-10-09,"0-11yrs",7.24,0.00,,0.00,,5.53,1.35,,0.00,
2021-10-09,"12-17yrs",20.39,2.32,,0.44,,13.12,3.64,,0.76,
2021-10-09,"18-39yrs",14.46,4.29,,2.69,,10.75,3.61,,1.92,
2021-10-09,"40-59yrs",10.07,5.66,,1.89,,10.60,4.44,,1.72,
2021-10-09,"60-79yrs",21.20,2.89,,1.19,,17.98,1.62,,1.22,
2021-10-09,"80+",131.8,5.37,,1.11,,66.58,2.28,,1.06,
2021-10-09,"ALL",10.90,4.09,,1.82,,8.65,3.54,,1.55,
2021-10-10,"0-11yrs",5.05,10.98,,0.00,,5.49,2.92,,0.00,
2021-10-10,"12-17yrs",24.38,2.37,,1.16,,15.14,2.73,,0.82,
2021-10-10,"18-39yrs",10.68,5.45,,1.49,,10.81,3.78,,1.86,
2021-10-10,"40-59yrs",12.57,3.44,,1.73,,10.76,4.02,,1.68,
2021-10-10,"60-79yrs",14.48,0.00,,1.12,,18.48,1.42,,1.20,
2021-10-10,"80+",70.24,0.00,,0.79,,65.65,2.28,,0.95,
2021-10-10,"ALL",9.06,4.01,,1.40,,8.77,3.42,,1.51,
2021-10-11,"0-11yrs",4.32,0.00,,0.00,,5.31,2.92,,0.00,
2021-10-11,"12-17yrs",14.14,3.58,,0.43,,15.83,2.93,,0.77,
2021-10-11,"18-39yrs",7.73,3.57,,1.25,,10.47,3.86,,1.82,
2021-10-11,"40-59yrs",14.30,1.73,,1.32,,11.08,3.73,,1.67,
2021-10-11,"60-79yrs",19.41,2.92,,1.30,,19.03,1.84,,1.22,
2021-10-11,"80+",124.6,0.00,,0.63,,67.50,2.28,,0.79,
2021-10-11,"ALL",7.94,2.93,,1.19,,8.68,3.45,,1.49,
2021-10-12,"0-11yrs",4.26,0.00,,0.00,,5.24,2.92,,0.00,
2021-10-12,"12-17yrs",10.40,2.40,,0.14,,15.84,2.81,,0.58,
2021-10-12,"18-39yrs",6.85,1.94,,1.27,,10.37,3.56,,1.74,
2021-10-12,"40-59yrs",7.94,2.90,,1.38,,11.18,3.53,,1.71,
2021-10-12,"60-79yrs",11.88,1.47,,1.26,,19.24,2.05,,1.30,
2021-10-12,"80+",53.62,0.00,,1.42,,65.60,2.28,,0.88,
2021-10-12,"ALL",6.14,2.11,,1.24,,8.64,3.26,,1.49,
2021-10-13,"0-11yrs",3.81,0.00,,0.00,,5.14,2.92,,0.00,
2021-10-13,"12-17yrs",9.38,3.65,,1.00,,15.17,3.33,,0.68,
2021-10-13,"18-39yrs",5.74,1.40,,1.12,,9.71,3.57,,1.72,
2021-10-13,"40-59yrs",5.52,3.52,,1.13,,10.36,3.49,,1.60,
2021-10-13,"60-79yrs",7.78,0.00,,0.67,,17.61,1.85,,1.21,
2021-10-13,"80+",89.18,0.00,,0.95,,75.80,2.28,,0.99,
2021-10-13,"ALL",5.08,1.99,,0.99,,8.19,3.30,,1.44,
2021-10-14,"0-11yrs",3.31,0.00,,9.09,,4.74,2.92,,1.30,
2021-10-14,"12-17yrs",10.57,2.47,,0.14,,14.35,2.88,,0.64,
2021-10-14,"18-39yrs",8.27,1.14,,1.41,,9.12,3.26,,1.63,
2021-10-14,"40-59yrs",10.15,4.74,,1.47,,10.13,3.78,,1.56,
2021-10-14,"60-79yrs",15.71,2.99,,1.37,,16.60,1.87,,1.22,
2021-10-14,"80+",164.6,0.00,,2.05,,99.32,0.77,,1.13,
2021-10-14,"ALL",6.56,2.30,,1.38,,7.73,3.12,,1.41,
2021-10-15,"0-11yrs",4.43,0.00,,0.00,,4.63,1.57,,1.30,
2021-10-15,"12-17yrs",14.00,6.25,,0.85,,14.75,3.29,,0.59,
2021-10-15,"18-39yrs",11.90,1.73,,2.04,,9.38,2.79,,1.61,
2021-10-15,"40-59yrs",9.24,4.79,,1.56,,9.97,3.83,,1.50,
2021-10-15,"60-79yrs",19.45,1.51,,1.08,,15.70,1.68,,1.14,
2021-10-15,"80+",36.35,0.00,,1.42,,95.77,0.77,,1.20,
2021-10-15,"ALL",8.09,2.91,,1.53,,7.68,2.91,,1.36,
2021-10-16,"0-11yrs",4.88,0.00,,0.00,,4.29,1.57,,1.30,
2021-10-16,"12-17yrs",13.54,5.12,,0.85,,13.77,3.69,,0.65,
2021-10-16,"18-39yrs",10.31,2.05,,1.91,,8.78,2.47,,1.50,
2021-10-16,"40-59yrs",10.85,5.48,,1.74,,10.08,3.80,,1.48,
2021-10-16,"60-79yrs",17.46,3.04,,1.15,,15.17,1.70,,1.14,
2021-10-16,"80+",207.3,0.00,,0.00,,106.6,0.00,,1.04,
2021-10-16,"ALL",8.17,3.26,,1.48,,7.29,2.79,,1.32,
2021-10-17,"0-11yrs",4.21,0.00,,0.00,,4.17,0.00,,1.30,
2021-10-17,"12-17yrs",12.50,6.53,,0.85,,12.08,4.29,,0.61,
2021-10-17,"18-39yrs",9.16,2.97,,1.31,,8.57,2.11,,1.47,
2021-10-17,"40-59yrs",7.39,1.23,,1.49,,9.34,3.48,,1.44,
2021-10-17,"60-79yrs",10.99,3.07,,1.63,,14.67,2.14,,1.21,
2021-10-17,"80+",231.8,5.49,,2.05,,129.6,0.78,,1.22,
2021-10-17,"ALL",6.71,3.01,,1.46,,6.96,2.64,,1.32,
2021-10-18,"0-11yrs",4.21,0.00,,0.00,,4.16,-0.00,,1.30,
2021-10-18,"12-17yrs",10.83,3.96,,0.14,,11.60,4.34,,0.57,
2021-10-18,"18-39yrs",6.53,2.40,,1.13,,8.39,1.95,,1.46,
2021-10-18,"40-59yrs",8.77,2.48,,1.40,,8.55,3.59,,1.45,
2021-10-18,"60-79yrs",15.45,1.54,,0.74,,14.10,1.95,,1.13,
2021-10-18,"80+",0.00,5.50,,0.63,,111.8,1.57,,1.22,
2021-10-18,"ALL",6.23,2.57,,1.02,,6.71,2.59,,1.30,
2021-10-19,"0-11yrs",3.98,0.00,,0.00,,4.12,-0.00,,1.30,
2021-10-19,"12-17yrs",8.02,1.34,,0.28,,11.26,4.19,,0.59,
2021-10-19,"18-39yrs",6.33,1.82,,1.31,,8.32,1.93,,1.46,
2021-10-19,"40-59yrs",5.68,3.75,,1.12,,8.23,3.71,,1.42,
2021-10-19,"60-79yrs",8.16,4.64,,0.78,,13.57,2.40,,1.06,
2021-10-19,"80+",0.00,0.00,,0.31,,104.2,1.57,,1.06,
2021-10-19,"ALL",5.16,2.45,,0.99,,6.57,2.64,,1.26,
2021-10-20,"0-11yrs",3.20,0.00,,0.00,,4.03,0.00,,1.30,
2021-10-20,"12-17yrs",6.92,2.71,,0.56,,10.91,4.05,,0.52,
2021-10-20,"18-39yrs",8.34,2.46,,1.04,,8.69,2.08,,1.45,
2021-10-20,"40-59yrs",9.06,1.27,,1.02,,8.73,3.39,,1.40,
2021-10-20,"60-79yrs",9.00,0.00,,0.48,,13.75,2.40,,1.03,
2021-10-20,"80+",224.2,5.54,,0.00,,123.5,2.36,,0.92,
2021-10-20,"ALL",5.80,1.55,,0.79,,6.67,2.58,,1.24,
2021-10-21,"0-11yrs",4.15,17.23,,0.00,,4.15,2.46,,-0.00,
2021-10-21,"12-17yrs",11.61,5.50,,0.70,,11.06,4.49,,0.60,
2021-10-21,"18-39yrs",8.52,1.56,,1.42,,8.73,2.14,,1.45,
2021-10-21,"40-59yrs",8.51,2.56,,1.76,,8.50,3.08,,1.44,
2021-10-21,"60-79yrs",12.12,1.58,,1.00,,13.23,2.20,,0.98,
2021-10-21,"80+",388.7,0.00,,0.47,,155.5,2.36,,0.70,
2021-10-21,"ALL",6.64,2.35,,1.31,,6.69,2.59,,1.23,
2021-10-22,"0-11yrs",4.93,0.00,,0.00,,4.22,2.46,,-0.00,
2021-10-22,"12-17yrs",7.01,2.79,,0.97,,10.06,3.99,,0.62,
2021-10-22,"18-39yrs",8.46,4.41,,1.94,,8.24,2.52,,1.44,
2021-10-22,"40-59yrs",11.36,1.94,,1.79,,8.80,2.67,,1.47,
2021-10-22,"60-79yrs",15.32,1.59,,1.22,,12.64,2.21,,1.00,
2021-10-22,"80+",447.8,5.61,,0.47,,214.3,3.16,,0.56,
2021-10-22,"ALL",7.31,3.33,,1.56,,6.57,2.65,,1.23,
2021-10-23,"0-11yrs",3.98,0.00,,0.00,,4.09,2.46,,-0.00,
2021-10-23,"12-17yrs",10.00,5.71,,0.55,,9.56,4.08,,0.58,
2021-10-23,"18-39yrs",7.90,2.88,,1.44,,7.89,2.64,,1.37,
2021-10-23,"40-59yrs",9.83,1.96,,1.29,,8.66,2.17,,1.41,
2021-10-23,"60-79yrs",6.20,1.61,,0.41,,11.03,2.00,,0.89,
2021-10-23,"80+",533.3,5.63,,0.47,,260.8,3.97,,0.63,
2021-10-23,"ALL",6.21,2.90,,1.02,,6.29,2.59,,1.16,
2021-10-24,"0-11yrs",4.31,0.00,,0.00,,4.11,2.46,,-0.00,
2021-10-24,"12-17yrs",8.29,4.36,,0.00,,8.95,3.77,,0.46,
2021-10-24,"18-39yrs",6.30,3.24,,1.26,,7.48,2.68,,1.36,
2021-10-24,"40-59yrs",6.85,5.94,,1.45,,8.58,2.84,,1.40,
2021-10-24,"60+",11.69,0.00,,0.99,,11.69,0.00,,0.99,
2021-10-24,"ALL",5.64,3.58,,1.14,,6.14,2.68,,1.12,
2022-03-11,"0-4yrs",,,9.27,0.00,0.00,,,,,
2022-03-11,"12-17yrs",,,3.14,16.45,8.92,,,,,
2022-03-11,"18-39yrs",,,10.59,15.35,19.48,,,,,
2022-03-11,"40-59yrs",,,10.11,13.35,18.48,,,,,
2022-03-11,"5-11yrs",,,7.58,19.40,0.00,,,,,
2022-03-11,"60+",,,26.20,8.79,6.62,,,,,
2022-03-11,"ALL",,,9.58,14.50,13.76,,,,,
2022-03-12,"0-4yrs",,,6.50,0.00,0.00,,,,,
2022-03-12,"12-17yrs",,,3.14,14.93,17.53,,,,,
2022-03-12,"18-39yrs",,,10.45,14.10,23.05,,,,,
2022-03-12,"40-59yrs",,,7.42,11.63,15.49,,,,,
2022-03-12,"5-11yrs",,,7.76,11.92,0.00,,,,,
2022-03-12,"60+",,,29.08,11.18,7.39,,,,,
2022-03-12,"ALL",,,8.57,13.09,14.18,,,,,
2022-03-13,"0-4yrs",,,7.19,0.00,0.00,,,,,
2022-03-13,"12-17yrs",,,6.29,11.87,8.45,,,,,
2022-03-13,"18-39yrs",,,5.38,10.30,17.43,,,,,
2022-03-13,"40-59yrs",,,5.18,9.10,13.51,,,,,
2022-03-13,"5-11yrs",,,5.63,12.59,0.00,,,,,
2022-03-13,"60+",,,20.12,6.45,6.40,,,,,
2022-03-13,"ALL",,,6.50,9.92,11.56,,,,,
2022-03-14,"0-4yrs",,,6.78,0.00,0.00,,,,,
2022-03-14,"12-17yrs",,,3.77,10.08,11.22,,,,,
2022-03-14,"18-39yrs",,,5.08,5.69,12.23,,,,,
2022-03-14,"40-59yrs",,,4.50,6.39,10.10,,,,,
2022-03-14,"5-11yrs",,,5.22,12.24,0.00,,,,,
2022-03-14,"60+",,,12.87,4.25,4.09,,,,,
2022-03-14,"ALL",,,5.69,6.79,8.22,,,,,
2022-03-15,"0-4yrs",,,6.36,0.00,0.00,,,,,
2022-03-15,"12-17yrs",,,4.41,6.98,3.98,,,,,
2022-03-15,"18-39yrs",,,5.08,5.69,11.67,,,,,
2022-03-15,"40-59yrs",,,4.05,5.76,9.04,,,,,
2022-03-15,"5-11yrs",,,4.96,9.64,0.00,,,,,
2022-03-15,"60+",,,12.02,5.45,3.85,,,,,
2022-03-15,"ALL",,,5.45,6.15,7.53,,,,,
2022-03-16,"0-4yrs",,,7.33,0.00,0.00,,,,,
2022-03-16,"12-17yrs",,,2.52,11.74,8.67,,,,,
2022-03-16,"18-39yrs",,,9.10,12.33,22.71,,,,,
2022-03-16,"40-59yrs",,,6.31,13.93,17.89,,,,,
2022-03-16,"5-11yrs",,,5.66,14.10,0.00,,,,,
2022-03-16,"60+",,,27.96,9.38,7.83,,,,,
2022-03-16,"ALL",,,7.66,12.43,14.90,,,,,
2022-03-17,"0-4yrs",,,10.10,0.00,0.00,,,7.65,0.00,0.00
2022-03-17,"12-17yrs",,,12.60,12.21,9.39,,,5.12,12.04,9.74
2022-03-17,"18-39yrs",,,12.51,20.60,24.91,,,8.31,12.01,18.78
2022-03-17,"40-59yrs",,,8.34,19.23,17.56,,,6.56,11.34,14.58
2022-03-17,"5-11yrs",,,8.86,12.91,0.00,,,6.52,13.26,0.00
2022-03-17,"60+",,,29.92,11.80,8.00,,,22.60,8.19,6.31
2022-03-17,"ALL",,,10.96,17.46,15.46,,,7.77,11.48,12.23
2022-03-18,"0-4yrs",,,5.81,0.00,0.00,,,7.15,0.00,0.00
